page 2	On arrlval at smgapore from Hongkong on the 16th inst, the steaner Lightning what into quarantine to complete the nine days which must clapse from her leaving Hongkong before she could be grenied pretique.
page 3	REUTER'S TELEGRAMS.
page 3	RUSSIA AND CHINA.
page 3	THE ANGLO-GERMAN CHINESE LOAN.
page 3	DEBATE ON THE NAVAL ESTIMATES.
page 3	THE BROUGH COMEDY COMPANY.
page 3	DEATH OF A WARD-MASTER AT THE CIVIL HOSPITAL.
page 3	INQUIRY AT THE MAGISTRACY.
page 3	THE LONDON COLLEGE OF MUSIC.
page 3	QUARANTINE AGAINST HONG-KONG.
page 3	A SINGAPORE OPINION.
page 3	CORRESPONDENCE.
page 3	THE CORPS AMAH'S JACKET.
page 3	To the Editor of the CHINA MAIL.
page 3	NOTES FROM CHEKIANG.
page 3	THE NEW YEAR FESTIVITIES.
page 3	POLITICAL STECULATIONS.
page 3	OFFICIAL SQUEEZES.
page 3	THREATHNED RIOTS.
page 3	RESULT OF INQUIRY.
page 3	'The Hongkong Dispensary.'
page 3	NAVAL AND MILITARY RIFLE MEETING.
page 5	MR JOHN DILL ROSS ON AMOY.
page 5	THE POLITICAL SITUATION IN CHINA.
page 5	GOLD STANDARD WITH LITTLE GOLD.
page 5	THE CHINESE MAIL.
