page 2	THERE are few more energetic rulers than the Governor of the Straits Settlements, Sir Cecil C. Smith. The amount of legislative work he gets through in a year is aston shing.
page 3	THE NORTHAMPTONSHIRE REGIMENT.
page 3	PRESENTATION OF SHOOTING PRIZES.
page 3	THE STRAITS FIRE INSURANCE COMPANY.
page 3	BRITISH NORTH BORNEO.
page 3	A CURIOUS LETTER FROM MR STANLEY.
page 3	AN EXPLORHR'S NOTIONS OF WOMEN AND SOCIRTY.
page 3	LATE TELEGRAMS.
page 3	THE REVOLUTION IN BRAZIL.
page 3	INFLUENZA EPIDEMIC IN EUROPE.
page 3	THE STRIKE AMONG THE GASMAKERS.
page 3	A DIV RCE SUIT.
page 3	A COLLISION IN THE MERSEY.
page 3	A CAUSE CELEBRE IN THE ENGLISH COURTS.
page 3	THE EMP ROR OF GERMANY AND EMIN PASHA.
page 3	MISCELLANEOUS.
page 3	A ERICAN TELEGRAMS.
page 3	CIIOLERA PREDICTED.
page 3	STANLEY'S JOURNEY.
page 3	POLITICS IN FRANCE.
page 3	ENGLAND AND THE UNITED STATES.
page 3	A THAMES COLLISION.
page 3	A FBENOH MURDERER.
page 3	FRINOE AND BRAEIL.
page 3	RELIGIOUS INTOLERANCE.
page 3	RIOT AT A BULL FIGHT.
page 3	PEACE IN PORTUGAL.
page 3	THE PLOT TO ASSASSINATE TISZA.
