page 2	The telegram which we published this morning was not altogether unexpected. Negotiations, premature or otherwise, have been going on for some time past. But they have reached us only as rumours,
page 3	THE CHINA-JAPAN WAR.
page 3	THE PROSPECTS OF PEACE.
page 3	JAPANESE ARMIES CONVERGING ON PEKING.
page 3	MOVEMENTS OF THE BRITISH FLEET.
page 3	REPORTED OUTEREAK NEAR FODCHOW.
page 3	BRITISH SURGECN FOR JAPANESE WOUNDED.
page 3	THE ALLEGED EARTIALITY OF THE ERITISH FLEET TO THE GEINESE.
page 3	BEGINNING OF WINTER.
page 3	ARRIVING REINFORCEMENTS.
page 3	THE CHINESE CONFIDENT.
page 3	A SHIPMENT OF ARMS RECEIVED.
page 3	LI HUNG-CHING AND SHENG.
page 3	SUPPOSED MOVEMENTS OF THE JAPANESE.
page 3	THE NAVAL FIGHTS - INTERVIEW WITH MR. G. HOFFMANN.
page 3	A JAPANESE VIEW OF THE EASTERN QUESTION.
page 3	A MUSHROOM LOTTERY AT SHANGHAI.
page 3	SHANGHAI SHARE REPORT.
