page 2	THE proclamation recently issued by Wan-in pan, Literary Chancellor, at Canton, threatens to lend to controversy on a side issue We was intrude by a Chinese scholar who cannot.
page 3	THE KUCHENG MASSACRE.
page 3	THE COMMISSION DISGUSTED.
page 3	RENEWED OFFICIAL DECEPTION AND OBSTRUCTION.
page 3	PROBABLE WITHDRAWAL OF FOREIGN COMMISSIONERS.
page 3	CONSUL MANSFIELD INSULTED BY A CHINESE 'BRAVE.'
page 3	THE INSURRECTION IN SOUTH WEST KWANGTUNG.
page 3	THE 'TIMES' ON TRE FAR EAST.
page 3	THE BOMB OUTRAGE IN PARIS.
page 3	THE 'VILKYRIE.'
page 3	CHOLERA IN HONOLULU.
page 3	THE BRITISH SQUADRON.
page 3	THE PEACE OF EUROPE.
page 3	ENGLISH ROYALTY AND AMERICAN WOMEN.
page 3	THE KAISER AND BISMARCK.
page 3	TO ADVERTISE IN JAPAN.
page 3	CHOLER IN LONDON.
page 3	TORPEDO BOAT ACCIDENT.
page 3	PLAYWRIGHT RAMAN DEAD.
page 3	SAND SUFRERERS CLAMONING FOR AID.
page 3	EMPEROR WICLIAM CALLS A FRENCH GENERAL A COWARDLY LIAR.
page 3	A PRINCE SHOOTS KIMSELF.
page 3	THE BRITISH SIMETALLISTS.
page 3	HOME RULERS AT OUTS.
page 3	THE BIMETALLIC CONFERENCE.
page 3	KILLED ON MAUNT BLANC.
page 3	FIFTY FAMILIES HOMELESS.
page 3	A DISASTROUS FIRE.
page 3	RILED OVER THE YACHTS.
page 3	THER HUCHRNG MASSACEES.
