page 2	THE history of the Hongkong Supreme Court, so far as its Bankruptcy jurisdiction is concerned, is one which we would, ad Englishmen, fain have blotted out from the Colonial records.
page 3	REPRESSIVE MEASURES FOR IRELAND.
page 3	DRUNK.
page 3	RCGUES AND VAGABONDS.
page 3	INVETERATE GAMBLERS.
page 3	A BEACHCOMBER.
page 3	ALLEGED LARCENY OF A S5 NOTE BY A HOUSEBOY.
page 3	A THIEYING MENDICANT.
page 3	THE ASSAULT ON A CONSTABLE BY GUN LASCARS.
page 3	A FARMER CONVICTED OF STEASING SHOES.
page 3	SERIOUS PIRATICAL ATTACK.
