page 4	IT is well-known that the science and practise of medicine has advanced greatly of late years, and that current ideas of the healing art differ enormously from those prevalent seventy or a hundred years ago.
page 5	AMERICAN ATHLETES.
page 5	BOISTEROUS WELCOME BY THE PRESIDENT.
page 5	THE SHIPPING CONFERENCE.
page 5	STRONG INDICTMENT FROM SINGAPORE.
page 5	PERSIA.
page 5	THE U. S. FLEET AT MELBOURNE.
page 5	GALES IN GREAT BRITAIN.
page 5	MOROCCO.
page 5	A REMARKABLE JAPANESE SHIP.
page 5	TEMPERANCE REFORM.
page 5	MR TAFT'S CAMPAIGN.
page 7	VANDALISM IN NORTH CHINA.
