page 2	AT the conclusion of the evidence in the Customs launch case yesterday, Mr Wode-house committed the three junk men to goal pending.
page 3	THE CHINA-JAPAN WAR.
page 3	THE ARMENIAN ATROCITIES.
page 3	THE GERMAN SOCIALISTS.
page 3	THE CHINESE LOAN.
page 3	ASSEMBLING OF PARLIAMENT.
page 3	GROVER CLEVELAND AS PEACEMAKER.
page 3	THE KAISER TO SQUELCH SOCIALISM.
page 3	A TREACHEROUS OFFICER.
page 3	VIGOROUS MEASURES TO RESTORE INTERNAL ORDER IN KOREA.
page 3	MARSHAL YAMAGATA INVALIDED.
page 3	MESSAGE FROM THE EMPEROR OF JAPNA.
page 3	GOVERNOR OF PORT ARTSUR.
page 3	LI HUNG-CHANG STILL RETAINS FULL POWER.
page 3	OFFICEAL DENIAL OF REPORTED POLAGUE IN AMOY.
page 3	THE LEGISLATIVE COUNCIL.
page 3	THE CHAMBER OF COMMERCE AND REUTER'S TELEORAMS.
page 3	FINANCE COMMITTEE.
page 3	POSTAL AGENCIES.
page 3	THE APPROPRIATION BILL FOR 1895.
page 3	P. W. D. CORRESPONDENCE.
page 3	THE MILITARY CONTRIBUTION - AN INAF-FECTIVE WRIGGLE BY THE UNOFFICIALS.
page 3	THE TYTAM WATER WORKS.
page 3	NEW POLICE QUARTERS.
page 3	THE NEW FIELD MARSHALS.
page 3	MANCHESTER SHIP CAMAL AND RAILWAY FREIGHTS.
page 3	THE NORTH WEST FRONTIER.
page 3	THE CEYLON LOAN.
