page 2	The Italian crusier Marco Polo arrived this morning from Naples, and exchanged the usual salutes.The cruiser is in command of Captain Edward Iacoronato. She left Naplea on 29th January. The Marco Polo.
page 3	REUTER'S TELEGRAMS.
page 3	THE STRIKES IN BOMBAY.
page 3	LORD SALISBURY'S HEALTH.
page 3	ASSASSINATION OF MR WOOLF JOEL.
page 3	RUSSIA AND KOREM.
page 3	KIAOCHAU AS A COMMERHAL PORT.
page 3	ANOTHER FIRE IN KOBE.
page 3	THE NORTH RIVER.
page 3	AN ANCIENT STORY.
page 3	A DISUSED COAL MINE.
