page 2	Broadly speaking, this is perhaps the most satisfactory despatch which the Secretary of State has favoured this colony with for a long time. It admits, and even emphasises, what has been.
page 3	YACHTING.
page 3	THE VICTORIA CUP.
page 3	MR DAIZIEL'S MOTION REJECTED.
page 3	DISTURBANCES IN SPAIN.
page 3	SUGAR.
page 3	MONETARY CRISIS IN CUBA.
page 3	NEW POWDER WORKS AT LUNG-WA.
page 3	TELEGRAMS BY THE AMERICAN MAIL.
page 3	A WILD RUMOR FROM ENGLAND.
page 3	THE SILVER QUESTION IN THE UNITED STATES.
page 3	TWO BRUTAL FIGHTS.
page 3	AFFAIRS OF THE NORTHERN PACIFIC. 
page 3	THE HOME-RULE CLOSURE.
page 3	THE CREEDON-GREGGAINS FIGHT.
page 3	JOHN L. SULLIVAN HAS A VERY NARROW ESCAPE.
page 3	MANY KILLED IN TROUBLES IN FRANCE.
page 3	SEVERAL COLLISIONS OF VESSELS IN THE ENGLISH CHANNEL.
page 3	THE GREAT LUMBER FIRE AT MINNEAPOLIS.
