page 2	IF all we hear is true then it would appear that the Government has been brought to its senses with regard to the Medical Officer of Health for the Colony. It will be remembered that in spite of the representations.
page 3	THE FINANOIAL CRISIS IN TURKEY.
page 3	ASIATIO TURKEY.
page 3	INFRINGING THE GERMAN COMMERCIAL CODE.
page 3	THE JAPANESE NAVY.
page 3	'ST. PAUL' IN CRUISER CLASS.
page 3	THE BRITISH PARLIAMENT.
page 3	DEPORT PREMIUMS ON SUGAR.
page 3	STORM IN ENGLAND.
page 3	THE SUGAR MARKET.
page 3	POSSIBLE VISIT OF THE QUEEN TO IRELAND.
page 3	THE KING OF PORTUGAL TO VISIT ENGLAND.
page 3	MARINE DISASTERS.
page 3	THE CNITED STATES AND SIAM.
page 3	GERMANY AND CHIAN.
page 3	UERMANY STRONG IN EUROPE.
page 3	BRAZIL IN GBEAT TROUBLE.
page 3	A NEW LINE OF FAST STEAMERS.
page 3	PROGRESS IN DENMARN.
page 3	MRS. LANGTRY'S JEWELS.
page 3	EMPEROR WILLIAM DEFIED.
page 3	THEFT OF C.P.R. STOCK.
page 3	LORD HOPE'S ESTATES TO BE TAKEN BY AN INSURANCE COMPANY.
page 3	THE PARNELL PARTY.
page 3	ENGLAND'S TROUBLE WITH VENEZUELAN.
page 3	EXTRAORDINARY ACTION OF A DIPLOMAT.
