page 2	THE landing of Japanese troops on Chinese soil has given a new aspect to the present struggle between the Asiatic Empires immediately under our observation in Hongkong.
page 3	TREASUREREMOVED FROM MOUKDEN.
page 3	ANOTHER BATTLE IMMINENT.
page 3	WRECK OF THE 'BELLONA'.
page 3	THE SANITARY BOARD.
page 3	MORTALITY STATISTICS.
page 3	COCKLOFTS.
page 3	GENERAL INSPECTION OF HOGSE DRAINS.
page 3	HOUSE-TO-HOUSE VISITATION.
page 3	UNSAFE WELLS IN WANCHAI.
page 3	CONSERVANCY CONTRACTOR'S LOSSES.
page 3	WATER WORKS.
page 3	CAUSEWAY BAY SQUATTERS.
page 3	SCAVENGING.
page 3	DR. JAMES.
page 3	ADJOURNMENT.
page 3	The Board adjourned to this day week.
page 3	THE CHINA-JAPAN WAR.
page 3	AN INDEMNITY FROM CHINA.
page 3	SIR EDWIN ARNOLD ON THE WAR.
page 3	TIENTSIN.
page 3	RUBBISH.
page 3	HOW A GREAT ENGINEER WAS MADE.
page 3	ENGLISH TRADES UNION CONGEESS.
page 3	U. S. NAVAL NOTES.
page 3	IRISH POLITICS.
page 3	OIL MONOPOLY BROEEN.
page 3	SUCCESSFUL FORGERY.
page 3	PROPOSED EXCHANGE OF ISLANDS.
page 3	U. S. ATTACHE FOR JAPAN.
page 3	YACHTING.
page 3	PRINCE BISMARK.
page 3	DEATH OF PROFESSOR VEITCH.
