page 2	THE news sent out by Reuter to-day, that Prince Hohenlobe, the German Chancellor, strongly urges the acquisition of the Chusan Islands by Germany regardless of the illwill of other Powers.
page 3	COLLAPSE OF THE LONDON MINING STOCK MARKET.
page 3	GERMANY IN THE FAR EAST.
page 3	THE RUNGPAI DISASTEE.
page 3	THE ARMENIAN ATROCITIES GROSSLY EXAGGERATED.
page 3	CHINA AND AUSTRALIA.
page 3	ASSASSINATION OF THE QUEEN OF KOREA.
page 3	THE MURDER OF THIRTEEN LADIES - IN - WAITING.
page 3	THE JAPANESE IMPLICATED.
page 3	HOW IT OCCURRED.
page 3	THE TAIWONKUN.
page 3	QUEEN'S MOTHER COMMITS SUICIDE.
