page 2	THE strained relations between Germany and Switzerland referred to in the Haves telegram had their origin in what is known as the Wohlgemuth affair. Germany has long bees suspected of fomenting.
page 3	TELEGRAMS.
page 3	RUSSTA AND GERMANY.
page 3	STRENGTHENING THE FRENCH NAVY.
page 3	PEACE PROSPECTS.
page 3	STRIKE OF CABMEN.
page 3	THE PANAMA CANAL REDIVIVUS.
page 3	RUPTURE BETWEEN GERMANY AND SWITZERLAND.
page 3	PRINCE ALBERT VICTOR.
page 3	TER IBLE RAILWAY ACCIDENT IN TRELAND.
page 3	THE BOULANGER TRIAL.
page 3	THE PRINCE OF WALES IN PARIS.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	IMPORTANT SHARE CASE.
page 3	A PORTUGUESE STRENGTHENING HIMSELF.
page 3	NRISH AND OTHER BULLS.
page 4	REMINDED HER OF HIM.
page 4	ON THE SHORES OF ALBERT NYANZA.
page 4	WOMAN AND HER UMBRELLA.
page 4	PLEASANT STORIES ABOUT THE EMPEROR.
