page 2	IT has been arranged that Sunday next shall be observed as Hospital Sunday, and it is hoped that the response to the appeal.
page 3	THE STRAITS MILITARY CONTRIBUTION.
page 3	RUSSIAN REINFORCEMENTS IN THE EAST.
page 3	CHINA AND THE REPORTED CORRUPTION.
page 3	THE FRENCH IN MADAGASCAR.
page 3	TAKING OF CHEFOO.
page 3	NAVAL NEWS FROM ENGLAND.
page 3	THE DANGER TO EUROPEAN RESIDENTS IN CHINA.
page 3	BRITISH TRADE WITH THE FAR EAST.
page 3	THE BIBLE AND THE MONUMENTS.
page 3	THE NORTHERN PACTFIC ROUTE.
page 3	BRITISH PREPARATIONS IN VIEW OF THE POSITION IN THE EAST.
page 3	RECRUITING FOR THE ARMY.
page 3	THE QUICK FIRING PRINCIPLE APPLIED TO FIELD GUNS.
page 3	SUCCESS OF A BRITISH EXPEDITTON.
page 3	FRANCE AND ENGLAND IN AFRICA.
