page 2	LORD Brassey's Naval Annual fer 1889-90 contains a great deal of salvable information, but occasionally its facts are not quite accurate. For example, in speaking of Hongkong, he says in is one of the best.
page 3	TELEGRAMS.
page 3	THE FRENCH ELECTIONS.
page 3	NEWS BY THE GERMAN MAIL.
page 3	COTTON MILLS STOPPED WORKING.
page 3	THE BTORMS IN AMERICA.
page 3	OUTRAGE ON SPANIARDS BY MOORS.
page 3	GREECE AND THE CRETAN QUESTION.
page 3	A NATIONAL PARTY.
page 3	AN UNFORTUNATE INCIDENT IN TIPPERARY.
page 3	SENTENCE UNDES THE CRIMES AUT.
page 3	THE VICTORIA CROSS EARNED BY AN ARMY DOOTOB.
page 3	CRICKET-GENTLEMEN AND FLAYERS.
page 3	THE CZAREWITOH.
page 3	HPEECH BY LORD DUFFRIN.
page 3	THE GREAT LONDON STRIKE.
page 3	THE FEAT AT NIAGARA.
page 3	THE SEDAN ANNIVERSARY.
page 3	OENTRAL AHIAS.
page 3	PASTEUR ON DOGS.
page 3	GERMANY.
page 3	THE BEHRING SEA SEALERS.
page 3	RUSSIA AND MONTENRGRO.
page 3	THE SWISS ANARUHISTS.
page 3	MISOELLANEOUS.
page 3	AFFAIRS IN MADAGASCAR.
page 3	CHINESE CEREMONIAL IN MEPAL.
page 3	AMERIOAN AND OTHER ITEMS.
