page 2	HER Majesty's Acting Consul at Taiwan, Formosa, in his report for 1876, referring to the question of the introduction of a railway into the island, says the propesal is to connect North and South Formoss by railway.
page 3	ALLEGED FME ZZLEMENT.
page 3	ANOTHER CHARGE.
page 3	DRUNK AND DISORDERLY.
page 3	A DECIDED NUISANCE.
page 3	DRUNK.
page 3	UNLAVFUL POSSESSION
page 3	A HUNGRY THIEF.
page 3	AN IMPUDENT SERVANT.
page 3	SUSPICIOUS.
page 3	THE "YESSO" CATASTROPHE.
page 3	CHARGE OF MANSLAUGHTER AGAINST THE ENGINEERS.
page 3	Australian Items.
page 3	GORDON PACHA.
page 3	PARIS ITEMS.
