page 2	THE full report which is just to hand of the recent meeting of the Socicty for the Suppression of the Opium trade, together with the speeches which we produced the other day, delivered at a meeting or the Friends.
page 3	ENGLAND.
page 3	SCOTLAND.
page 3	IRELAND.
page 3	THREATENING HIS WIFE.
page 3	FOUND IN AN EMPTY HOUSE FOR A SUPPOSED UNLAWFUL PURPOSE.
page 3	LARCENY OF OLOTHING.
page 3	LARCENY OF COPPER.
page 3	THE PREMIER.
page 3	GENERAL MESNY.
page 3	MORE MASSACRES IN MANDALAY.
page 3	CHANG CH'IH-GUNG.
