page 2	BY the shrewd plan of the Chinese in refusing to register under the present oppressive (and probably unconstitutional) Act against them, the Government of the United States in placed in a truly ridiculous position. 
page 3	ROITS IN BELFAST.
page 3	PROLONGED DROUGHT IN ENGLAND.
page 3	UNIVERSAL SUFFRAGE IN BELGIUM.
page 3	ILLNESS OF THE SULTAN OF MOROCCO.
page 3	THE EARTHQUAKE AT ZANTE.
page 3	THE COUP D'ETAT IN SERVIA.
page 3	AFFAIRS IN BELGIUM.
page 3	AMERICA AND HAWAII.
page 3	PROCEEDINGS IN PARLIAMENT.
page 3	THE MURDERS AT CACHAR.
