page 2	OF all public questions the one which is uppermost in the minds of residents at the present moment in the condition of the water supply For four or five weeks a solution of mud and Walter has been delivered in place of pure water to a large portion of the town.
page 3	TELEGRAMS.
page 3	PLOT AGAINST THE CZAR.
page 3	THE SUGAR BILL.
page 3	DEATH OF COUNT TOLSTOL.
page 3	THE TURKISH MISSION.
page 3	JUDGMENT IN THE McBREEN CASE.
page 3	DRAINAGE AT THE PEAK.
page 3	A COLONY OF CHEMISTS.
page 3	THE NEW EXTRADITION BILL.
page 3	Canton.
page 3	FOOCHOW NOTES.
page 3	FOOCHOW GENERAL CHAMBER OF COMMERCE.
page 3	ANNUAL REPORT 1888-1889.
page 3	THE AMOY SEAMEN'S CLUB.
