page 2	ON the 16th Oct. M. Floquet, the Prime Minister of France, submitted to the Chamber of Deputies a bill for the revision of the constitution of France. The bill was put forward in the hope of carrying off one of the planks of the Boulangist platform.
page 3	TELEGRAMS.
page 3	FICKLE FRANCE.
page 3	THE GENERAL GRANT CASE.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	THE CHINA GANG CASE.
page 3	CHARGE OF MANSLAUGHTER AGAINST AN INDIAN CONSTABLE.
page 3	A RUNAWAY PRSIONER.
page 3	TIENTSIN.
page 3	PEKING NOTES.
page 3	NOTES FROM NATIVE PAPERS.
page 3	A CHHINESE DEFENCE OF PRAYER FOR RAIN.
page 3	THE TYNDALL ARGULMENT MET.
