page 4	THE WAR.
page 5	PRUSSIAN WARFARE IN AMERICAN WATERS.
page 5	AN OFFICAL STATEMENT.
page 5	LINERS AVOIDING THE REGULAR ROUTES.
page 5	A DELICATE ELEMENT.
page 5	BRITISH SHIPPING CRICLES NOT SCARED.
page 5	BUT INSURANCE PREMIA NATURALLY INCREASED.
page 5	THE "FRIGHTFULNESS PARTY" IN THE REICHSTAG.
page 5	TWO SUBMARINES SUNK.
page 5	BY RUSSIAN DESTROYER.
page 5	GERMAN SUBMARINES IN THE ARCTIC.
page 5	AMERICAN STEAMERS SUNK.
page 5	THE WESTERN FRONT.
page 5	A BRITSIH RAID NEAR GIVENCHY.
page 5	THE ITALIAN OPERATIONS.
page 5	THE BALKAN ZONE.
page 5	CONTINUED BRITISH PROGRESS.
page 5	BULGARIANS ABANDON A RAILWAY.
page 5	A GREEK CABINET FORMED.
page 5	BULGARIA EXPECTS SPEEDY INTERYENTION OF GREECE.
page 5	TRADE AFTER THE WAR.
page 5	BRITISH COMMITTEE'S REPORT SHORTLY EXPECTED.
page 5	A NEW GERMAN WAR CREDIT.
page 5	WHEAT AND FREIGHT RATES.
page 5	THE FIGHT FOR LESARS.
page 5	THE RUMANIAN RETIREMENT.
page 5	AMERICAN WARSHIPS PATROL THE COAST.
page 5	GERMANY AND AMERICA.
page 5	U.S. PRESIDENT'S ATTITUDE.
page 5	GERMANY'S PROMISES.
page 5	GERMAN SHIPS IN PORTUGAL.
