page 2	IT came to our notice some time ago that a number of private meetings of the Legislative Council had been held to discuss matters of the gravest public importance.
page 3	SENSATIONAL AFFAIR AT QUARRY BAY.
page 3	INVASION OF HONGKONG BY A CUSTOMS CRUISER. - EIGHT MEN ARRESTED.
page 3	CONTRAVENTION OF THE BUILDING ORDINANCES.
page 3	THE BANKRUPTCY OF MR A. E. SKEELS.
page 3	ADJOURNED PUBLIC EXAMINATION.
page 3	THE FORTUOUESE NAVY.
page 3	THE KING OF SERVIA.
page 3	THE AFGHAN SUCCESSION.
page 3	THE BELGIAN ELECTIONS.
page 4	THE ABODE OF IDEAL LOVE.
page 5	SENSATIONAL AFFAIR AT QUARRY BAY.
page 5	INVASION OF HONGKONG BY A CUSTOMS CRUISER. - FIGHT MEN ARRESTED.
page 5	CONTRAVENTION OF THE BUILDING ORDINANCES.
page 5	MR GRANVILLE SHARP FINED.
page 5	THE BANKRUPTCY OF MR A. E. SKEELS.
page 5	THE REVOLT AT DELAGOL BAY.
page 5	THE FORTUGUESE NAVY.
page 5	AFGHAN AFIAIRE. - RUSSIAN OPINION.
page 5	THE KING OF SERVIA.
page 5	THE AFOSAN SUCCESSION.
page 5	THE BELGIAN ELECTIONS.
