page 2	SINCE our telegram appeared comcerning the 'Situation' which was the first definite intimation as to the action of the British Foreign Office as regards the Chinese Problem no news of importance has been received from the North.
page 3	FURTHER TROUBLE IN AFRICA.
page 3	GREAT BRITAIN AND THE CHINA LOAN.
page 3	RUSSIA AND THE CHINA LOAN.
page 3	THE UNITED STATES AND FREE SILVER.
page 3	THE SOUDAN EXPEDITION.
page 3	THE FRANCO-RUSSIAN ALLIANCE.
page 3	COMMANDANT ESTERHAZY.
page 3	THE GERMAN MINISTER AND THE CHINESE GOVERNMENT.
page 3	LA PERFIDE ALBION!
page 3	RAIN-STORMS AND FLOODS IN THE MALAY PENINSULA.
page 3	MORE TROUBLE IN NORTH BORNEO.
page 3	ANOTHER STATION CAPTURED.-SIKH KILLED.
page 3	THE EXTENSION OF HONGKONG.
