page 2	As was to be expected, the Japanese newspapers dany he truth of the allegations regarding Japanese atrocities in Formosa. Had the been content to publish there denials little could have. been said against them.
page 3	THE RUSSIAN PRESS AND THE CRETE RISING.
page 3	THE FALL IN SILVER.
page 3	DEATH OF THE COMMANDER-IN-CHIEF OF THE BENGAL ARMY FROM CHOLERA.
page 3	THE CALCUTTA TEA SALE.
page 3	AN EURASIAN REGIMENT FOR INDIA.
page 3	MORE FLOODS IN THE BOMBAY PRESIDENCY.
page 3	INDIAN COOLIES AND EAST AFRICA.
page 3	LI HUNG CHANG IN ENGLAND.
page 3	THE IRISH LABOUR BILL.
page 3	FOREIGNERS ATTACKED IN CRETE.
page 3	TURKS AND BULGARIA.
page 3	LORD WOLSELEY'S STRICTURES ON THE INDIAN ARMY.
page 3	THE CALCUTTA HOSPITALS.
