page 2	Mr Thorne was summoned to appear before Mr Archer in the British Court to show cause why he should not be committed for comtempt of Court. Mr Tilleke appeared.
page 3	GERMANY AND CHINA.
page 3	AUSTRIA AND TURKEY.
page 3	GREAT FIRE IN LONDON.
page 3	THE LEGISLATIVE COUNCIL.
page 3	WIDOW'S AND ORPHANS' PENSIONS.
page 3	THE SMALL TENEMENTS RECOVERY ORDINANCE.
page 3	VAGRANCY ORDINANCE.
page 3	FINANCE COMMITTEE.
page 3	KENNEOY-TOWN HOSPITAL.
page 3	MEALS FOR PRISONERS.
page 3	THE OBJECTS OF THE NAVY LEAGUE.
page 3	THE NAVY LEAGUE.
