page 2	PROBABLY no subject affecting the health of the Colony has been so fully discussed as that of the removal of night soil, -by hand carriage, or by water carriage, As was pointed out recently by Mr. Ormsby.
page 3	THE RITISH FLEET IN CHINA.
page 3	ANOTHER BATTLESHIP FOR THE STATION.
page 3	ANOTHER BRITISH CRUISER AT SINGAPORE.
page 3	ARRIVAL OF ADMIRAL SEYMOUR.
page 3	TRADE IN WENCHOW.
page 3	THE FAR EAST.
page 3	CRICKET-THE FOURTH TEST MATCH.
page 3	RE-INFORCEMENTS FOR THE BRITISH SQUADRON IN THE FAR EAST.
page 3	POLITICAL SPEECH.
page 3	ANNUAL DINNER OF THE STRAITS ASSOCIATION.
page 3	GERMANY IN CHINA.
