page 2	THE case of A. F. Smith v. J. H. Jarman somewhat aptly illustrates the saying that Law is, from the necessity of things, not always Justice. Of course it may be also laid down that no suit was ever yet decided in which Justice was acknowledged by all sides to have been fairly apportioned.
page 3	THE LATE KWOK ACHEONG.
page 3	LARCENIES.
page 3	H.E. LIKED SWEET POTATOES.
page 3	ILLEGAL POSSESSION OF PREPARED OPIUM.
page 3	SUSPECTED PIRATES.
page 3	SHARP PRACTICE.
page 3	ANNIVERSARY OF THE CHINESE RELIGIOUS TRACT SOCIETY.
page 3	CHINESE EMIGRATION TO HONOLULU.
page 3	CHINA, RUSSIA, AND JAPAN.
page 3	THE RECEPTION OF PROFESSOR NORDENSKJOLD.
