page 2	THE telegrams we publish in another column explain in some measure the private advices that have been received again reporting a critical state of affairs in Europe.
page 3	Police Intelligence.
page 3	ALLEGED LARCENY FROM THE PERSON.
page 3	FEROCIOUS DOG.
page 3	LARCENY.
page 3	DISORDERLY SERVANTS.
page 3	BEARDING THE LION IN HIS OWN DEN.
page 3	BREAKING WATER PIPES.
page 3	DRUNK.
page 3	SUPREME COURT.
page 3	IN ORIGINAL JURISDICTION.
page 3	IN SUMMARY JURISDICTION.
page 3	RETRENCHMENT IN VICTORIA, AUSTRALIA.
page 3	EXTRAORDINARY PROCEEDINGS.
page 3	BROKERS' COMMISSIONS.
