page 2	Is the quality of the beer supplied to our troops satisfactory! On the whole that interogatory must be answered in the negative.
page 4	ROOSEVELT TO VISIT THE KAISER.
page 4	RICEIVED BY THE KING OT ITALY.
page 4	THE AUSTRO-TURKISH PROTOCOL.
page 4	A STORMY DESBATE.
page 4	TRAGEDY EXPECTED IN PERSIA.
page 4	UNHAPPY TABRIZ.
page 4	SUGGESTED NAVAL CONFERENCE.
page 4	COLONIES TO RECEIVE CONSIDERATION.
page 5	STAMP REGULATIONS TO BE ADOPTED.
page 5	CHINESE CONSULATES AT HONGKONG AND JAVA.
page 5	TIBET.
page 5	WEI-HAI-WEI.
page 5	EXTENSION OF SHANGHAI.
page 5	A GOLD STANDARD.
page 5	TO ALLAY RACIAL FEELINGS.
