page 2	THE telegrams we publish in another column from the Straits Times Extra afford us some additional information of an important nature in regard to recent events in Europe.
page 3	Canton.
page 3	Police Intelligence.
page 3	DESERTION.
page 3	BOARDING STEAMERS.
page 3	STRAGGLER.
page 3	LARCENY.
page 3	DARING ATTACK OF THE POLICE.
page 3	ARRIVAL OF THE ENGLISH MAIL.
page 3	TELEGRAMS.
page 3	China.
page 3	FOOCHOW.
page 3	SHANGHAI.
page 3	SOOCHOW.
page 3	PEKING.
page 3	TIENTSIN.
page 3	DIARY OF THE WAR.
