page 4	ON Thursday we pointed out the import once of certain telegrams, cut from Indian papers, giving thereply of Lord Derby to the Russian circular justifying war, and some remarks made by Mr. Cross in the House of Commons.
page 5	AN INDIAN ARMY FOR EGYPT.
page 5	SUPREME COURT.
page 5	IN ADMIRALTY.
page 5	IN RE THE "ROSINA," A MOTION FOR JUDGMENT.
page 5	Police Intelligence.
page 5	DRUNE.
page 5	TRESPASS.
page 5	THE CHAIR NUISANCE.
page 5	"CUTTEE WAGEE."
page 5	A DRUNKEN PATRICK.
page 5	STEALING FLOWERS.
page 5	BOARDING HOUSE RUNNERS.
page 5	MISBEHAVED BERVANTS.
page 5	A TRIP FROM SWATOW TO CANTON.
page 5	"Meet nurse for a poetic child."
page 5	IRONCLADS.
page 6	TURKISH IRONCLADS.
page 6	WHAT THE WORLD SAYS.
page 6	PROVERBS OF THE BILLINGS FAMILY.
