page 2	CONFLICTING rumours continue to reach us with regard to the prospects of peace. From Japan we are informed by one who has come into the closest relationships with Japanese officials that Japan.
page 3	THE CHITRAL RELIEF EXPEDITION -- ANOTHER BRITISH OFFICER KILLED.
page 3	THE PEACE NEGOTIATIONS.
page 3	THE REVOLT IN CUBA.
page 3	RUSSIA AND JAPAN.
page 3	THE PEACE NEGOTIATIONS.
page 3	JAPANESE FIRM SELLING ARMS TO CHINESE.
page 3	OPENING OF NEWCHWANG.
page 3	MORE JINGALS.
page 3	THE POSITION IN PEKING.
page 3	MUTINY.
