page 2	Wr have already expressod our hearty approval of the scheine prosed by the Hon.R. D. Ormsby for erecting Pubie Offices in Hongkong. There can be no doubt watever that the consonans of opinion in.
page 3	THE ATTEMPT ON THE LIFE OF THE KING OF GREECE.
page 3	THE BORNEO IN COLLISION.
page 3	NEWS FROM PORT ARTHUR.
page 3	RUMOURS.
page 3	THE ADMIRAL.
page 3	THREE CHINESE WARSHIPS.
page 3	WITH MAILS.
page 5	DUELLING IN GERMANY.
page 5	GERMANY'S DEVELOPMENTS ABROAD.
page 5	A NEW ENGLISH CABLE.
page 5	THE WRECK IN THE ENGLISH CHANNEL.
page 5	THE COINAGE OF THE UNITED STATES.
page 5	FATAL RAILWAY ACCIDENT IN SCOTLAND.
page 5	FAILDRE OF RUSSIAN HARVEST.
page 5	NEW CANADIAN GOLDFIELDS.
page 5	YURON GOLDFIELDS.
page 5	SCATHING CRITICISM OF FRENCH NAVY.
page 5	BLISSARD IN THE UNITED STATES.
page 5	THE ARREST OF ENGLISHMEN IN MOROCCO.
page 5	TERRIBLE EXPLOSION OF CREOSOTE.
page 5	CROUBY LIGHTSHIP DESTROYED.
page 5	THE KHEDIVIAL STEAMSPIP ADMINISTRATION.
page 5	ATTEMIT TO CORNER THE WHEAT MARKET.
page 5	FRANCE IN THE MEDITERRANEAN.
page 5	JAPAN AND HAWAIL.
page 5	FATALITY TO GERMAN BLUEJACKETS.
page 5	FATAL FIRE IN BOSTON.
page 5	GERMAN STUDENTS IN PRAGUE.
page 5	FAR EASTERN NEWS AND POLITICS.
