page 2	MONOMETALLIST writers on the subject of Bimetallism seem, judging from the tenor of most of their articles, to hardly understand what it means, as they all write as if silver had to be bought with gold.
page 3	TROUBLE BETWEEN AUSTRIA AND TURKEY.
page 3	GERMANY IN CHINA.
page 3	RUSSIA AND MANCHURIA.
page 3	HEAVY WEATHER IN THE CHINA SEA.
page 3	BRITISH STRIKERS APPEAL TO AMERICA.
page 3	PORTUGUESE CABINET CHANGES.
page 3	A NEW BICYCLE RECORD.
page 3	RUSSIAN COMBINE ENDED.
page 3	HERKOMER MAY SUCCEED GILBERT.
page 3	AN EXPLORER SAFE.
page 3	ROSERBERY VISITS BISMARCK.
page 3	NEW GOVERNOR OF OTTOMAN BANK.
page 3	AN ENGLISH ENGAGEMENT.
page 3	BRITISH STEAMER WRECKED.
page 3	FIGHTING IN MADAGASUAR.
page 3	GERMANY AND CANADA.
page 3	STATUE TO EMPEROR FREDERICK UNVEILED.
page 3	THE U.S. SUGAH TARIFF.
page 3	GET EGYPT FOR TUNIS.
page 3	THIS DUEL ENDED IN DEATH.
page 3	LILY LANGTRY AND THE HER LATE HUSBAND.
page 3	THE BIMETALLIC PROBLEM.
page 3	GREAT BRITAIN'S ATTITUDE.
