page 2	THE recommendation made to the Government by the Committee appointed at the public meeting on Thursday, to alter the law bearing on coolie lodging houses, was, in our opinion, an error of judgment.
page 3	LI HUNG CHANG AND THE PEACE NEGOTIATIONS.
page 3	THE MILITARY CONTRIBUTIONS.
page 3	THE REVOLT AT CUBA.
page 3	THE JAPANESE AT THE PESCADORES.
page 3	GARRISONED FOR THREE MONTHS.
page 3	THE JAPANESE IN FORMOSA.
page 3	CHINESE PRECAUTIONS AT SWATOW.
page 3	THE JAPANESE AT THE PESCADORES.
page 3	REPORTED LOSS OF TWO JAPANESE VESSELS.
page 3	WHERE ARE THE BRITISH WARSHIPS.
page 3	THE FOREIGNERS IN FORMOSA PRECAUTIONS FOR SAFETY INSOLENCE OF THE BLACK FLAGS.
page 3	LATEST NEWS FROM THE CAPITAL.
