page 4	WE made the remark the other day that the Tung Wah Hospital Committee did not fairly represent the Chinese Community ; and it is remarkable that, although the Executive.
page 5	HUMANE SOCIETY'S PRACTICE.
page 5	ALARMING FIRE LAST NIGHT.
page 5	THEFT OF MONEY AND CLOTHING.
page 5	A COLLECTOR OF METALS.
page 5	MORE SPURIOUS COIN.
page 5	WLADIVOSTOCK.
page 5	WHAT THE WORLD SAYS.
page 5	A BOOK ON CHINA.
page 6	CHINA AND THE SANDWICH ISLANDS.
page 6	NORDENSKJOLD'S ARCTIC EXPEDITION.
page 6	THE SACRED BOOKS OF CHINA.
page 6	PATRIARCHAL DYNASTIES.
page 6	THE AMERICAN PRETTY GIRL.
page 6	HABITS OF WILD ANIMALS AT NIGHT.
page 6	A QUAKER PRINTER'S PROVERBS.
