page 2	OWING no doubt to the impoverished state of the official treasuries, and the attention and expenditure directed ot the relief of the sufferers by the famine in the North, naval and military matters in China appear to have languished during the last year.
page 3	LOCAL AND GENERAL.
page 3	Police Intelligence.
page 3	LARCENY.
page 3	THE RIVER STEAMERS.
page 3	TIENTSIN.
page 3	The Straits.
page 3	THE P. & O. STRI "CHINA".
page 3	PROPOSED RAILWAY THROUGH ASSAM, AND ROAD THENCE INTO CHINA.
page 3	RASOAL - MOULDERS.
page 3	CONTRABAND OF WAR.
