page 2	PEOPLE are beginning to realise what was realised by the few when the acquistion of Wei-hai-wei was first announced, via. that it is concession of doubtful utility to Great Britain.
page 3	THE CONSTRUCTION OF CHINESE RAILWAYS.
page 3	CONTINENTAL MINISTERS PROTEST.
page 3	THE NEW TAXATION AT AMOY.
page 3	VICTORY FOR THE TAOTAI.
page 3	THE SPANISH-AMERICAN WAR.
page 3	FRENCH VERSION OF MR. CHAMBERLAIN'S SPEECH.
page 3	DARING ESCAPE FROM GAOL.
page 3	A PERSISTENT PRISONER.
page 3	SMART CAPTURE.
page 3	BEET SUGAR VIELD.
page 3	THE VIENNA BOURSE BURNED DOWN.
page 3	SPEECH BY MR. CECIL RLIODES.
page 3	THE BALKAN STATES.
page 3	THE FRENCH AND THE UPPER NILE.
page 3	BRITISH AND GERMAN TRADE.
