page 2	THERE is no surer means of romedying the defects of any service than free and fearless criticism, and there is perhaps no country in the world where such criticism is more indulged in than.
page 3	TELEGRAMS.
page 3	SUPPLIED TO THE CHINA MAIL.
page 3	GREAT BRITAIN AND PORTUGAL.
page 3	FIGHTING IN BRAZIL.
page 3	IN FLUENZA SPREADING.
page 3	ENGLAND AND PORTUGAL.
page 3	THE MAHDI AND EMIN.
page 3	AN EXTRAORDINARY LETTER.
page 3	LATE TFLEGRAMS.
page 3	THE QUEEN AT OSRORNE.
page 3	A CONSERVATIVE MEMBER RESIGNS.
page 3	THE WEST END SCANDAL.
page 3	PORTUGUESE AGGRESSION IN AFRICA.
page 3	A DONATION FOR A MISSIONARY SOCISTY.
page 3	ILLNESS OF A RISHOP.
page 3	MURDER OF A FRENCH OFFICIAL.
page 3	THE CRETAN TROUBLE.
page 3	THE PORTUGUESE IN SOUTH AFRICA.
page 3	A COLLISION AT SEA.
page 3	THE PRIUE PAID FOR BUSHIRL.
page 3	EXTENSION OF THE EXTRADITION TREATY WITH AMERICA.
page 3	PARNELL AT HAWARDBN CASTLE.
page 3	EGYPTIAN FINANCE.
page 3	PORTUGUESE PRANKS IN AFRICA.
page 3	A NEW FINANCIAL COMPANY.
page 3	PARNELL AT NOTTINGBAM.
page 3	IMPROVEMENTS IM PERSIA.
page 3	THE STANLY EXPEDITION.
page 3	THE STRIKES.
page 3	MISCELLANEOUS.
