page 2	THE Comercio contains a long list of political prisoners set at liberty, and 130 rebels have presented themselves for the amnesty.
page 3	THE COOLIE STRIKE AT SHANGHAI.
page 3	GREAT INDIGNATION MEETING.
page 3	THE FOREIGN CONSULS DENOUNCED.
page 3	COUNCIL CALLED UPON TO IMPOSE THE NEW TARIFF.
page 3	THE REBELLION IN THE PHILIPPINES.
page 3	THE CRETAN QUESTION.
page 8	THE action taken by a gentleman named Levi, 5 Seymour Terrace, in connection.
page 8	MR W. R. Carles assumed charge of the British Consulate at Foochow on the 1st April.
page 8	CATTLE plague introduced into Java from Siam has destroyed in a few weeks nearly 2000 animals.
page 8	ENGLISH papers to hand by the German mail allude to the expected release of Lady.
page 8	THE Hudson Surprise Party, which had one more successful performance last night.
