page 4	THERE is a well known French saying, thoroughly Gallic in its caustic incisiveness, which must have occurred to more than one reader of the report of the debate which took place yesterday on the Marriage Ordinance.
page 5	THE SPIRIT OF THE MORNING PRESS.
page 5	THE HONGKONG NATIVE PRESS.
page 5	THE CORRESPONDENCE REFERRED TO AT THE LEGISLATIVE COUNCIL MEETING.
page 5	THE BLOCKADE.
page 5	THE MARRIAGE ORDINANCE.
page 5	LARCENY.
page 5	DRUNKENNESS.
page 5	TROUBLESOME CHAIR COOLIES.
page 5	LARCENY.
page 5	CUTTING TREES.
page 6	THE OCTOPUS.
page 6	A ERUSSOPHOBIAN.
page 6	STARTLING CONTRASTS.
page 8	THE CHINA REVIEW.
page 8	THE CHINESE MAIL.
