page 2	AT the Marine Magistrate's Court to-day captain Rumsey sentenced Charies Williams, A.B., to fourteen days' imprisonment.
page 3	NEWS BY THE FRENCH MAIL.
page 3	THE SWEARING-IN OF THE NEW MEMBERS OF PARLIAMENT.
page 3	LORD SALISBURY'S PROPHECY.
page 3	THE DEBATE ON THE ADDRESS IN THE COMMONS.
page 3	THE IRISH PARTY THREATEN.
page 3	THE CENTRAL FINSSURY ELECTION.
page 3	THE GREENOCK ELECTION.
page 3	THE GERMAN EMPEROR RIDS FAREWELL.
page 3	RUSSIAN INTRIGUES IN BULGARIA-PUBLICATION OF DOCUMENTS.
page 3	THE NEW RUSSIAN MINISTER AT TOKIO.
page 3	THE RIOTS AT TASHKEND-CRITICAL STATE OF AFEAIRS.
page 3	THE CHOLERA IN RUSSIA AND PERSIA-SERIOUS RIOTS.
page 3	RIOTS AT ASTRABAD, AND ATTACK ON RUSSIAN SUBJECTS.
page 3	THE CHOLERA SPREADING.
page 3	THE CRISIS IN MOROCCO.
page 3	AN ABYSSINIAN ENVOY TO France.
page 3	THE CHOLERA SCARE IN PARIS.
page 3	OUTRAGE ON A BRITISH OFFICER.
page 3	THE DEFENCES OF ADEN.
page 3	THE CURRENCY QUESTION.
