page 4	A Chinaman was knocked down by the tram at West Point on Thursday and badly injured. He received heveral-bad cuts about the face and head and is still in the hospital suffering from the injuries.
page 5	MOROCCO.
page 5	RELATIONS STRAINED.
page 5	THE CHURCH IN FRANCE.
page 5	A MINIATURE BATTLE.
page 5	CHINA AND OPIUM.
page 5	FRANCE.
page 5	ST. PAUL'S CATHEDRAL.
page 5	THE MONROE DOCTRINE.
page 5	ACCIDENT IN GLASGOW.
page 5	ARCTIC EXPLORATION.
page 5	Return of Lieutenant Peary.
page 5	THE STRAITS DOLLAR.
page 5	REDUCTION IN WEIGHT.
