page 4	LABOUR AND CAPITAL.
page 5	RUMANIA'S GALIANT STAND.
page 5	ENEMY PRESSURE IN DOBRUDJA WEAKENED.
page 5	THE BRIDGE ACROSS THE DANUBE.
page 5	ENEMY HEAVILY REPULSED AT SEVERAL POINTS.
page 5	ENEMY CLAIMS CAPTURE OF FVULCAN PASS.
page 5	MR. ASQUITH AND THE RUMANIAN SITUATION.
page 5	THE SALONIKA ARMY.
page 5	IMPORTANT SERBIAN SUCCESS.
page 5	CONSTANTINOPLE-SALONIKA RAILWAY DAMAGED.
page 5	ATTACK BY NAVAL AEROPLANES.
page 5	THE FRENCH OFFENSIVE AT VERDUN.
page 5	BRITISH RAID ENEMY'S TRENCHES.
page 5	FIFTEEN Y.C.'S.
page 5	A STIRRING STORY OF GALLANTRY.
page 5	THE CAUCASIAN CAMPAIGN.
page 5	RUSSIANS OCCUPY BIDJAR.
page 5	BRITISH MINESWEEPER TORPEDOED.
page 5	ALL OFFICERS AND 73 MEN LOST.
page 5	GERMAN WOMEN AND CHILDREN IN BRITAIN.
page 5	INTERCEPTED LETTERS.
page 5	HOW GERMANS TRICKED THE U.S. AUTHORITIES.
page 5	A CANADIAN HOSPITAL DESTROYED BY FIRE.
page 5	REBELLION IN DUTCH INDIES PRACTICALLY ENDED.
page 5	GRAMAPHONE RECORDS FOR ASIATIC SOCIETY.
page 5	LANGUAGES OF INDIAN ABORIGINES.
page 5	QUARANTINE AGAINST BASRA.
page 5	THE INDIAN JUTE CONTRACT.
page 5	MR. HUGHES AND THE HYPHENATES.
page 5	A DEFINITE DECLARATION.
page 5	INDIAN PRISONERS OF WAR.
page 5	IN THE HANDS OF THE GERMANS AND TURKS.
page 5	THE FIGHTING AT VERDUN.
page 5	MORE ENEMY COUNTER-ATTACKS FAIL.
page 5	MORE THAN 4,500 UNWOUNDED PRISONERS.
page 5	GOOD WORK BY BRITISH BOMBARDMENT AEROPLANES.
page 5	RUMANIA'S GALLANT STAND.
page 5	SUCCESSES IN THE CARPATHIANS.
page 5	SUBMARINE PIRACY.
page 5	DIMINISHED COAL OUTPUT.
page 5	MR. ASQUITH APPEALS TO THE MINERS.
