page 2	The soldiers hitherto dealt with in this series, though most of them still actively belong to the present, may be regarded as men of the past --- that is to say, men who have long ago.
page 3	Britain and Russia.
page 3	The Bishop of Manchester.
page 3	Earth quake in Sylhet.
page 3	The Indian Gold Reserve.
page 3	Indian Coal for South Africa.
page 3	Ceylon Tea in London.
page 3	Serious Trap Accident at Kandy.
page 3	The Plague.
page 3	Pole Accident.
page 4	News from the Philippines.
page 4	Holidays.
page 4	Watchnight Service.
page 4	Yokohama Specie Bank.
page 4	The Largest Oil Steamer Afloat.
page 4	Notes by the Way.
page 4	The Lsto Senor Luna.
page 4	The Singapore Volunteers.
page 4	To be There!
page 4	Barbarous Englishmon.
page 4	REUTER'S SERVICE.
page 4	LADYSMITH.
page 4	BOER COMMISSARIAT.
page 4	THE WAR.
page 4	HAVAS SERVICE.
page 4	THE FRENCH IN SOUTH CHINA.
page 4	SMOKING CONCERT AT CANTON.
