page 2	THERE are two great questions raised by the Waterworks Bill that has just been read a second time by the Legislative Council.
page 3	MASSACRE OF CHRISTIANS BY ARNAUTS.
page 3	TH TELEGRAPH CONFERENCE IN PARIS.
page 3	A RAILWAY ACCIDENT AT SAN FRANCISCO.
page 3	THE WORKMEN S DAY IN FRANCE.
page 3	THE KHEDIVE INSPECTS THE BRITIH SQUADRON.
page 3	THE EMPEROR WHLIAMS ACCIDENT.
page 3	THE PANITZA INCIDENT.
page 3	DR. PETERS AT UGANDA.
page 3	THE NEWFOUNDLAND TROUBLE.
page 3	THE EGYPTIAN CONVERSION SCHEME APPROVED BY THE POWERS.
page 3	STANLEY ON BRITISH POLICY IN EAST AFRICA.
page 3	THE DUKE AND DUCHESS OF CONNAUGHT.
page 3	THE SIVER QUESTION IN AMERICA.
page 3	NARROW ESCAPE FROM DISASTER AT THE CALCUTTA WATER WORKS.
page 3	THE BULGARIAN CONSPIRATOES.
page 3	THE SILVER QUESTION IN THE STATES.
page 3	THE EXPLOSIONS AT HAVANA.
page 3	MISCELLANEOUS.
