page 2	WHATEVER the Colony may have gained by the appointment of Mr. O'Brien as Colonial Secretary, it is clear that in lim the Government bar found an excellent month-piece It will not.
page 3	MILITARY AFFAIRS ON THE CONTINENT.
page 3	APPROACHING ELECTION.
page 3	THE DERBY.
page 3	DEEMING EXECUTED.
page 3	THE QUEEN'S BIRTHDAY CELEBRATION.
page 3	Piracy in the China Seas.
page 3	A WHOLE FLEET CAPTURED.
page 3	THE ANTI-FOREIGN MOVEMENT.
page 3	THEOUT RAGES IN FUKIEN-LITERATI. LEAD THE MOB.
page 3	GERMANS AS COLONISTS.
