page 2	IT is a little surprising that the foreign journals of China and Japan have taken so little notice of the movement now going on in the United States in favour of reform in the U. S. Dipiomatic and Consular Services.
page 3	ELECTION.
page 3	THE IRISH RELIEF FUND.
page 3	PACIFIC SPEECH BY THE EMPEROR OF GERMANY.
page 3	THE CHINESE HOSPITAL AT AMOY.
page 3	UNLAWFUL POSSESSION .
page 3	FIRING CRACKERS.
page 3	DRUNK AND INCAPABLE.
page 3	RETURNING FROM BANISHMENT.
page 3	BREACH OF THE OPIUM ORDINANCE.
page 3	THE AFGHAN WAR.
