page 2	IN its sober, severely solmn style, The Spectator discusses 'The Future of the Philippines.' and is apprehensive of international complications arising out of the present rebellion. Calculating the.
page 3	KOWLOON FERRY SERVICE.
page 3	NEW DOUBLE-ENDED LAUNCH.
page 3	THE YOKOHAMA POISONING CASE.
page 3	IMPUTATIONS AGAINST MISS JACOB.
page 3	CLOSE OF DEFENCE.
page 3	HOUSE OF COMMONS.
page 3	THE PLAGUE CONFERENCE.
page 3	INDIAN FAMINE RELIEF.
page 3	THE PLAGUE AT BOMBAY.
page 3	DR JAMESON'S CONDITION CAUSING ANXIETY.
page 3	ILLNEWW OF PRINCESS LOUISE.
page 3	NEW YEAR HONOURS.
page 3	RESIGNATION OF LORD JUSTICE KAY.
page 3	PECULIAR ACCIDENT TO A VESSEL.
page 3	ACCIDENT TO SIR HENRY IRVING.
page 3	THE RUSSELL SCANDAL.
page 3	PROMINENT MEN SERIOUSLY INJURED IN THE HUNTING FIELD.
page 3	FREE CHURCH OF SCOTLAND.
page 3	SUICIDE OF AN ENGLISH AUTHOR.
page 3	A NAVAL FIGHT.
page 3	FREE RESEARCH LABORATORY.
page 3	RUSSIA AND CHINA-THE RECENT TREATY.
page 3	THE PACIFIC-ATLANTIC STEAM SERVICE.
page 3	PRUSSIAN FINANCE.
page 3	ENGLAND AND GERMANY.
page 3	DUELING IN GERMANY.
page 3	TEE PACIFIC CABLE COMMISSION.
page 3	THE PASTEUR INSTITUTE.
page 3	ACTIVITY IN FRENCH SHIPBUILDING YARDS.
page 3	THE ARMING OF EUROPE.
page 3	THE SCULLING CHAMPIONSHIP.
page 3	MR CECIL RHODES.
page 3	THE UNITED STATES AND CUBA.
page 3	A FILIBUSTER SCUTTLED-NARROW ESCAPE OF AN AMERICAN NOVELIST.
page 3	AFFAIRS IN SOUTH AFRICA.
