page 2	THE special telegram which we published last night, announcing a 'constitutional crisis' at Singapors, may perhaps have taken some of our readers by surprise. In one sense the extreme.
page 3	FRANCE AND ITALY.
page 3	KASSALA.
page 3	THE CHINA-JAPAN WAR. -- ARMISTICE REFUSED BY JAPAN.
page 3	ILLNESS OF GENERAL SIR H. F. PONSONBY.
page 3	RUSSIAN FINANCES.
page 3	THE CHINA-JAPAN WAR.
page 3	PROGRESSIVE SCHEMES HELD IN ABEYANCE.
page 3	CHINESE GOVERNMENTS SHORT OF MONEY.
page 3	JAPANESE DIFFICULTIES IN COREA.
page 3	THE TAI-WUN-KUN.
page 3	A RIVAL KING.
page 3	THE DEFENCE OF MOUKDEN.
page 3	GENERAL SUNG.
page 3	THE WEATHER.
page 3	THE RED CROSS HOSPITAL.
page 3	COLLISION BETWEEN PEACE AND WAR PARTIES.
page 3	CHINESE REPORTS FROM MANCHURIA.
page 3	PEACE PROSPECTS.
page 3	THE NEW COMMANDER-IN-CHIKF.
page 3	PREPOSTEROUS REWARDS.
