page 2	THE unanimity with which the press of England and Europe asserts that Great Britain has lost prestige in the Far East must be striking even to the most casual observer of the drift of political affairs. It does not.
page 3	THE GERMAN SQUADRON.
page 3	THE BUDGET.
page 3	SPAIN AND THE UNITED STATES.
page 3	PROCLAMATION BY H. E. THE ACTING GOVERNOR.
page 3	DEPARTURE OF THE AMERICAN FLEET.
page 3	SPAIN AND CHINA.
page 3	THE NEUTRALITY OF MIRS BAY.
page 3	THE PROCLAMATION OF NEUTRALITY.
page 3	ARMING MAIL STSAMERS.
page 3	COAL SUPPLYN OF THE U.S. NAVY.
page 3	TERRIBLE CHOLERA SCOURGE ON A BRITISH STEAMER.
page 3	A SUSPECTED RUSSIAN IN KASIUIIR.
page 3	THE CAPTAIN OF A STEAMER STADSED.
page 3	IMPORTANT REPORT ON PLAGUE INOCULATION.
