page 2	THE object of Captain Ashton, and of the British Mercantile Marine Officers Association of which be is the President, in waiting on the Administrator the other day was doubtless to ascertain if they could rely upon the support of that officer in the movement for the suppression of Sunday labour in the Harbour.
page 3	THE FINANCIAL CRISIS.
page 3	GREAT BRITAIN AND PORTUGAL.
page 3	LORD SALISBURY AT THE GUILDHALL.
page 3	RAILWAY ACCIDENT.
page 3	PASSED SUEZ CANAL.
page 3	NEWS BY THE FRENCH MAIL.
page 3	RESULT OF THE AMERICAN CENSUS.
page 3	WRECK AND LOSS OF LIFE.
page 3	CREASING THE GARRISON OF TRIPOLI.
page 3	ONE RESULT OF THE STRIKES IN MELBOURNE.
page 3	THE COMMAND IN EGYPT.
page 3	DEFEOTS DISUOVERED IN THE MAGAZINE BIFLE.
page 3	THE MUNICIPAL ELECTIONS.
page 3	MR JEPHSON'S BOOK.
page 3	THE ARRIVAL OF MESERS O BRIEN AND DILLON IN AMERICA-THE POLICY OF THE FUGITIVES.
page 3	THE LIVERPOOL COTTON ASSOCIATION.
page 3	A PHOTOGRPHER FINED FOR CONTEMPT OF COURT.
page 3	RETURN OF THE TWRNTIETH HUISSARS.
page 3	ENGLISH AND AUSTRALIAN RACING PONIES.
page 3	REACTION AGAINST SOCIAL REFORM.
page 3	A MEETING OF GOANESE IN CALCUTTA.
page 3	MR PARNELL AND THE NATICNALISTS.
page 3	SANITARY BOARDS FOR BOMBAY.
