page 2	THE two most satisfactory reports in the volume of reports on the trade at the treaty ports of China during 1876, published by order of the Inspector General of Customs.
page 3	Police Intelligence.
page 3	UNLAWFUL POSSESSION.
page 3	LARCENY.
page 3	A DISAPPOINTED SWAIN.
page 3	ROGUE AND VAGABOND.
page 3	DRUNKENNESS.
page 3	CHAIR-BIRE.
page 3	China.
page 3	SHANGHAI.
page 3	Japan.
page 3	THE CONSULATE AT SHANGHAI.
page 3	THE CHARGES AGAINST SEWARD.
page 3	The Straits.
page 3	AMERICAN ITEMS.
