page 2	TORY DEMOCRACY V. HATFIELD.
page 4	BRITTANY CUSTOMS.
page 5	NEWS FROM HOME.
page 5	NEW FEOPLE IN FAR NORTH.
page 5	Discovery of a Race Who Never Saw Whites.
page 6	HONGKONG LICENSING REFDRM.
page 7	NORTH CHINA DEBACLE.
page 7	MUTINY AT KUIKIANG.
page 7	MURNER OF BRITISH MISSIONARY.
page 7	TIENTSIN AS CAPITAL.
page 7	ORDER RESTORED.
page 7	NEW PREMIER.
page 7	U. S. TROOPS FOR PEKING.
page 7	JAPANESE TROOPS FOR TIENTSIN.
page 7	A RIOT OF BLOOD.
page 7	NOTICE TO QUIT.
page 7	MANCHESTER'S REBUFF TO THE GOVERNMENT.
page 7	HOLIDAY MAKING.
page 7	WIDESPREAD EFFECT.
page 7	NO COMPROMISE.
page 7	MINIMUM WAGE BILL.
page 7	BUNKER COAL RISING.
page 7	SHORTSIGHTED STRIKERS.
page 7	BUITISH ARMY RIFLE.
page 7	DEBATE IN THE COMMONS.
page 7	HOME POLITICS.
page 7	CERMAN NAVY BILL.
page 7	HONGKONG WIRELESS TELE RAPHY.
