page 2	WHILE the unofficial members may be congratulated on their attitude as regards certain items of proposal expenditure in the Supply Bill for 1893, it is a matter for regret that the Representative of the Chamber of Commerce laid himself open individually to a charge of unreasonable opposition.
page 3	SUPREME COURT.
page 3	IN BANKRUPTOY.
page 3	CHINESE BANKRUPT DISCHARCED.
page 3	AN INTERESTION POINT.
page 3	'VOLUNTEERING'.
page 3	AUXILIARY TOMMY.
page 3	Piracy in the China Sea.
page 3	THE FATE OF A SINGAPORE TRADER..
page 3	CHEFOO.
page 3	THE COOLIE CONSIRACY AT KOBE.
page 3	THE SILVER QUESTION.
