page 4	WE are glad to observe that our new daily contemporary at Rangoon is turning its attention to the question of a trade route from Yunnan via Zimme and Maulmain.
page 5	ASSAULT.
page 5	A STRAGGLER.
page 5	FEROCIOUS DOG.
page 5	HIGH-HANDED PROCEEDINGS.
page 5	ALLEGED GAMBLING.
page 5	PROTESTANT AND ROMISH FORMS OF CHRISTIANITY IN CHINA.
page 6	RECOLLECTIONS OF THE FRANCO-PRUSSIAN WAR.
page 6	CELEBRITIES AT HOME.
page 6	MARSHAL DE MACMAHON AT THE ELYSEE.
page 6	ETIQUETTE IN THE HOUSE OF COMMONS.
