page 2	THE denunciation by Great Britain of her commercial treaties with Belgium and Germany marks a new era in the history of our empire. It is in itself, the inauguration of a new policy towards commercial rivals.
page 3	GREAT BRITAIN AND BIMETALLISM.
page 3	BYE ELECTION.
page 3	THE NEW INDIAN LOAN.
page 3	ARRIVAL OF THE EMPEROR OF GERMANY IN RUSSIA.
page 3	ASSASSINATION  OF THE SPANISH PRIME MINISTER.
page 3	ROMANIZED CANTONESE.
page 3	THE SWIMMING CHAMPIONSHIP.
page 3	A CYCLING RECORD.
page 3	THE PACIFIC CABLE.
page 3	LIBEL ACTION AGAINST 'TRUTH.'
page 3	FIRE AT BUCKINGHAM PALACE.
page 3	STODDART'S AUSTRALIAN TEAM.
page 3	THE ENGINEERS' STRIKE.
page 3	CONSTRUCTION OF NAVAL HARBOURS.
page 3	CAPE COLONY'S GIFT OF A BATTLESHIP.
page 3	THE COLONIAL PREMIERS IN ENGLAND.
page 3	SAD FATALITY IN SHANGHAI CHILD POISONED.
page 5	THE GOLD IN THE AMUR REGION.
page 5	'SALLEH IN OUR ALLEY.'
page 5	UNEXPECTED PERILS OF MODERN WARFARE.
page 5	A PICTURE OF THE QUEEN AT BALMORAL.
