page 2	AN interesting article on Hongkong, contributed to the Singapore Free Press by Mr. J. D. Ross, will be found on page 5 It contains references to the Governor, Mr. Whitehead, the Peak and the China pony. 
page 3	PRINCE HENRY'S VISIT TO THE FAR EAST.
page 3	HIS RECEPTION AT HONGKONG.
page 3	THE ARBANGEMENTS AT COLOMBO.
page 3	PBEPARATIONS AT SINGAPORE.
page 3	GREAT BRITAIN AND FRANCE IN AFRICA.
page 3	THE ARMY ESTIMATES.
page 3	CHINA.
page 5	NEWS FROM PORT ARTHUR.
page 5	A SINGAPORE CRITIC ON HONGKONG.
page 5	SLATING THE CHINA PONY.
