page 2	A CORRESPONDENT calls our attention to the baneful effect which the hot weather and other influences exert over the action of certain bodies known as Sub-Committees. It is a common custom, when any movement.
page 3	RE-INSTATEMENT OF JAMES'S OFFICERS.
page 3	GERMANY IN THE FAR EAST.
page 3	MILITARY INTELLIGENCE.
page 3	COLLAPSE OF A CHICAGO WHEAT CORNER.
page 3	THE SPANISH-AMERICAN WAR.
page 3	THE NEW TAUT.
page 3	THE NEW LIKING REGULATIONS.
page 3	THE SEIZURE OF ARMS.
page 3	CONVICTION OF A BOATMAN.
page 3	A BID FOR CHINA'S TRADE.
page 3	U.S. COMMERCIAL MUSEUM'S COMMISSIONERS TO THE ORIENT.
page 3	CONSULS TO CO-OPERATE.
page 3	SAMPLES, OR STRAWS OF TRADE.
page 3	A RIOT AVOIDED.
page 3	REVOLVER ACCIDENT.
