page 4	FANCY DRESS BALL AT AMOY.
page 5	THE ITALIAN CALAMITY.
page 5	KING EDWARD APPRECIATES BRITISH GALLANTRY.
page 5	ROYAL VISIT TO BERLIN.
page 5	YUAN SHI-KAI'S DISMISSAL.
page 5	SITUATION REGARDED AS SERIOUS.
page 5	British Representations to China.
page 5	MORE DENUNCIATIONS AT PEKING.
page 5	IMPENDING DISMISAL OF YIANG SHIH-SHIANG.
page 5	SEQUEL TO ANHUI REBELLION.
page 5	THE PEAK MURDER.
page 5	ALLEGED NEGLECT OF DUTY.
page 5	THE STRAITS OPIU, REPORT.
page 5	EXCESSIVE INDULGENCE NOT GENERAL.
page 5	Government Control by Monopoly Recommended.
page 5	PRESIDENT CASTRO'S ILLNESS.
page 5	A DANGEROUS OPERATION PERFORMED.
page 5	SERVIAN MINISTER'S SPEECH.
page 5	REPORTED AUSTRIAN DEMAND FOR APOLOGY.
page 5	SUSPECTED SUICIDE AT AMOY.
page 5	NEW SOLICITOR ADMITTED.
page 5	NEW YEAR SOPRTS AT AMOY.
page 6	THE DEVINCE OF BRITAIN.
