page 2	DR Eitel sands us  letter which throws fresh light on several points in connection with the pamphlet recently issued by the Literary Chancellor of the Chinese Empire violently denouncing all heterodox doctrines' and stimulating.
page 3	THE KUCHENG MASSACRE.
page 3	THE COMMISSION OF ENQUIRY IN DIFFICULTIES.
page 3	BRITISH AND AMERICAN CONSULS APPEAL FOR GUNBOATS.
page 3	A NAVAL DEMONSTRATION AT FOOCHOW.
page 3	WILL THERE BE ANOTHER ULTIMATUM?
page 3	THE RIOTS AT CONSTANTINOPLE.
page 3	THE BELGIC.
page 3	THE OPENING ON NEW PORTS IN CHINA.
page 3	COLLISION AT NAGASAKI.
page 3	REINFORCEMENTS FOR VLADIVOSTOCK.
page 3	AELEGED PLOT TO ASSASSINATE MARQUIS.
page 3	THE BRITISH FLEET.
page 3	KOREAN RIOTERS.
page 3	THE RETROCESSION OF LIAOTUNG.
page 3	RUMOURS CONCERNING MARQUIS ITO.
