page 2	IT is impossible to read the report of the proceedings at the annual meeting of the Hongkong Benevolent Society without being impressed by the fact that the Society.
page 3	THE VOYAGE OF H.M.S. 'ALBACORE.'
page 3	THE 'SONS OF NEPTUNE' AN THE CITY HALL.
page 3	'FRAGRANT WATERS' MURMUR.
page 3	OXFORD LOCAL EXAMINATIONS.
page 3	ADMIRAL FREMANTLE'S VISIT TO THE PESOADORES.
page 3	A STRAITS JOURNALIST ON THE WORLD'S FAIR.
page 3	TELEGRAMS BY THE AMERICAN MAIL.
page 3	THE ATTACK ON THE PANAMA CANAL BING.
page 3	ENGLAND AND CHINA.
page 3	LADY RUSSELL BEFUSES TO RETURN TO TBR BUSDAND.
page 3	NARROW ESCAPE OF THE ATLANITIC LINER 'TRAVE.'
page 3	STRENGTH OF THE CABINET-THE GOVERNMENT WILL BW SAVED FROM COLLAPSR BY THE UNIONISTS.
page 4	ISLAM IN ENGLAND.
page 4	A MOSLEM CONGRESS IN LIVERPOOL.
page 4	'OH, DON'T TOUCH MEI DON'T COME NEAR ME!'
page 4	SINGULAR BUT TRUE.
