page 2	WHAT will have s'ruck residents most forcibly in the leave-taking of His Excellency Sir William Des Voeux is the honest siraigt tforward manner in which he spoke out his mind. We have no doubt that to him the function of address-presenting must appear somewhat of a force.
page 3	TELEGRAMS.
page 3	THE SENTENCE ON THE DUKE OF ORLEANS.
page 3	DEPARTURE OF H. E. THE GOVERNOR.
page 3	PRESENTATION OF ADDRESSES.
page 3	SWEARING IN THE ADMINISTRATOR.
page 3	SUPREME COURT.
page 3	IN CRIMINAL SESSIONS.
page 3	LARCENY.
page 3	ENGLAND'S TRADE WITH THE FAR EAST IN 1889.
page 3	A FINANCIAL CRISIS FEARED IN JAPAN.
