page 2	ON the eve of the departure of the mail, numerous rumours of a startling nature are coming to hand from north and south. Our Singapore correspondent telegrahs that the French have carried into effect.
page 3	REPORTED FRENCH ANNEXATION OF HAINAN.
page 3	THE SITUATION IN THE FAR EAST.
page 3	FIRE IN CHICAGO.
page 3	FIRE NEAR LONDON.
page 3	GREAT BRITAIN AND GERMANY.
page 3	GERMANY AND RUSSIA.
page 3	RUSSIA AND CHINA.
page 3	THE GERMAN CHINA SQUADRON.
page 3	IN ORIGINAL JURISDICTION.
page 3	A CHINESE PLUTO.
page 3	EXTRAORDINARY SPEECHES BY KAISER WILHELM.
page 3	ADDRESS TO GERMAN SOLDIERS.
page 3	THE SITUATION IN CHINA.
page 3	THE SITUATION IN CHINA.
page 3	BRITISH ACTIVITY IN KOREAN WATERS.
page 3	DISMISSAL OF THE GERMAN OFFICERS IN CHINESE EMPLOY.
page 3	THE ROUND-THE-WORLD CYCLISTS.
page 3	ARRIVAL IN SHANGHAI.
page 3	THE SAGACITY OF RATS.
page 5	ANOTHER ATLANTIC RECORD.
page 5	ANNIVERSARY OF THE ROYAL SOCIETY.
page 5	ITALY'S FINANCES.
page 5	SPAIN AND HER COLONIEN.
page 5	THE FASTEST TORPEDO BOAT.
page 5	AN ARISTOCRATIC SWINDLER.
